iter	Passed	Remaining
0	151	150987
1	167	83399
2	185	61566
3	203	50591
4	227	45305
5	258	42781
6	287	40821
7	315	39139
8	356	39295
9	397	39339
10	434	39032
11	461	38023
12	482	36599
13	508	35796
14	532	34952
15	554	34127
16	579	33486
17	601	32804
18	619	31992
19	640	31366
20	663	30924
21	690	30706
22	711	30228
23	736	29940
24	758	29564
25	780	29246
26	806	29073
27	823	28572
28	842	28207
29	862	27885
30	879	27491
31	904	27362
32	927	27182
33	954	27111
34	975	26904
35	1003	26862
36	1018	26510
37	1036	26227
38	1055	26001
39	1071	25706
40	1086	25418
41	1106	25233
42	1135	25274
43	1158	25177
44	1173	24901
45	1193	24753
46	1205	24434747	1228	24364848	1250	24274949	1269	24125050	1304	242751	1398	25501
52	1418	25354
53	1442	25264
54	1468	25238
55	1492	25152
56	1517	25109
57	1541	25042
58	1559	24879
59	1584	24820
60	1597	24585
61	1617	24465
62	1639	24385
63	1668	24398
64	1688	24291
65	1705	24141
66	1717	23917
67	1739	23839
6868	1692	228469	1781	23663
70	1804	23617
71	1838	23691
72	1856	23579
73	1877	23499
74	1899	23422
75	1918	23330
76	1938	23237
77	1964	23217
78	1978	23065
79	2003	23040
80	2014	22858
81	2033	22770
82	2051	22661
83	2074	22618
84	2103	22646
85	2132	22658
86	2145	22517
87	2161	22403
88	2180	22321
89	2201	22255
90	2223	22209
91	2237	22082
92	2254	21984
93	2276	21943
94	2296	21876
9595	2247	211696	2338	21768
97	2357	21695
98	2369	21565
99	2391	21523
100	2414	21494
101	2441	21498
102	2452	21358
10103	2399	206710104	2419	206210105	2444	206110106	2462	205510107	2477	2046108	2568	20997
10109	2517	2037110	2609	20896
111	2630	20854
11112	2576	202211113	2594	201611114	2621	201711115	2642	201311116	2658	200611117	2683	20056
118	2699	19988
119	2719	199412120	2733	198512121	2755	198212122	2778	198012123	2803	19804
124	2838	19868
125	2871	19918
126	2899	19929
127	2937	20013
128	2959	19984
129	2984	19970
130	3011	19979
131	3027	19909
132	3053	19903
133	3078	19894
134	3113	19948
135	3137	19933
136	3152	19858
137	3175	19834
138	3205	19854
139	3237	19889
140	3252	19812
141	3276	19797
142	3296	19758
143	3317	19719
144	3335	19668
145	3353	19613
146	3384	19640
147	3408	19620
148	3427	19574
149	3442	19508
150	3458	19443
151	3481	19420
152	3503	19397
153	3537	19434
154	3567	19448
155	3591	19428
156	3624	19459
157	3640	19398
158	3663	19376
159	3683	19336
160	3712	19345
161	3725	19273
162	3743	19220
163	3762	19181
164	3778	19119
165	3787	19026
166	3812	19018
167	3836	18998
168	3868	19022
169	3883	18958
170	3900	18909
171	3925	18895
172	3946	18866
173	3990	18943
174	4024	18973
175	4044	18935
176	4060	18879
177	4088	18881
178	4106	18835
179	4117	18756
180	4135	18714
181	4166	18724
182	4194	18724
183	4212	18680
184	4227	18622
185	4249	18597
186	4276	18593
187	4303	18588
188	4316	18523
189	4337	18489
190	4352	18435
191	4373	18403
192	4391	18360
193	4413	18337
194	4437	18316
195	4456	18278
196	4478	18253
197	4496	18213
198	4515	18175
199	4533	18132
200	4549	18083
201	4561	18019
202	4590	18024
203	4608	17981
204	4624	17935
205	4647	17912
206	4668	17885
207	4693	17872
208	4719	17860
209	4731	17799
210	4752	17772
211	4776	17754
212	4793	17712
213	4817	17693
214	4835	17653
215	4855	17624
216	4883	17620
217	4913	17627
218	4929	17580
219	4948	17543
220	4973	17530
221	4985	17472
222	5008	17451
223	5020	17391
224	5038	17353
225	5058	17324
226	5080	17299
227	5104	17283
228	5132	17281
229	5169	17305
230	5191	17282
231	5215	17263
232	5229	17213
233	5250	17186
234	5272	17164
235	5285	17109
236	5300	17064
237	5317	17025
238	5335	16987
239	5350	16941
240	5369	16911
241	5386	16871
242	5404	16837
243	5424	16806
244	5437	167572245	5460	167372246	5477	16697
247	5498	16673
248	5530	16679
249	5549	16648
250	5568	16618
251	5587	16586
252	5617	16585
253	5643	16576
254	5657	16527
255	5678	16502
256	5690	16451
257	5704	16406
